,Unnamed: 0,label,tfidf,pmi,h_cat,key_phrases,key_words,lda_label,links,cluster_alg,augmented,LDA,plain
0,0,weapons,0.016233452059839948,0.09872018507521774,1,0,0,0,0,kmeans_plain,0,0,1
1,1,military technology,0.01526571273524035,0.09546844888629948,1,0,0,0,0,kmeans_plain,0,0,1
2,2,aircraft,0.01393264042821687,0.09302641022573864,1,0,0,0,0,kmeans_plain,0,0,1
3,3,military science,0.01337830811063328,0.08962657922820062,1,0,0,0,0,kmeans_plain,0,0,1
4,4,aerospace engineering,0.01222664305250522,0.078708432304038,1,0,0,0,0,kmeans_plain,0,0,1
5,5,aircraft components,0.011213332375476602,0.07666405743899804,1,0,0,0,0,kmeans_plain,0,0,1
6,6,warfare by type,0.011032096221364713,0.07440923222020399,1,0,0,0,0,kmeans_plain,0,0,1
7,7,vehicles by type,0.010611321207697177,0.06553287527505355,1,0,0,0,0,kmeans_plain,0,0,1
8,8,military equipment by type,0.01032224356639692,0.0708118393138837,1,0,0,0,0,kmeans_plain,0,0,1
9,9,aviation,0.0100998097247583,0.0714274414937113,1,0,0,0,0,kmeans_plain,0,0,1
10,10,optics,0.020166019571983967,0.08154029708588335,1,0,0,0,0,kmeans_plain,0,0,1
11,11,measurement,0.01863303207603587,0.06799145451369898,1,0,0,0,0,kmeans_plain,0,0,1
12,12,electrical engineering,0.01852019667474831,0.06331364244315649,1,0,0,0,0,kmeans_plain,0,0,1
13,13,electricity,0.018366882537926264,0.07034849160350723,1,0,0,0,0,kmeans_plain,0,0,1
14,14,electronics,0.017800527443037714,0.059721379042126335,1,0,0,0,0,kmeans_plain,0,0,1
15,15,electronic engineering,0.016716143793523014,0.06739839356852143,1,0,0,0,0,kmeans_plain,0,0,1
16,16,electromagnetism,0.016559692759911208,0.06574625383505346,1,0,0,0,0,kmeans_plain,0,0,1
17,17,measuring instruments,0.01641464535610423,0.06271065537226929,1,0,0,0,0,kmeans_plain,0,0,1
18,18,electrical components,0.016239673858789175,0.06721653821020039,1,0,0,0,0,kmeans_plain,0,0,1
19,19,electromagnetic radiation,0.015850918071877097,0.07063562830392968,1,0,0,0,0,kmeans_plain,0,0,1
20,20,computer-related introductions by year,0.01082744813522948,0.040601353908609056,1,0,0,0,0,kmeans_plain,0,0,1
21,21,computers,0.009996589592207668,0.035895438884230704,1,0,0,0,0,kmeans_plain,0,0,1
22,22,product introductions by year,0.008801221039171544,0.033641923985733346,1,0,0,0,0,kmeans_plain,0,0,1
23,23,technology by year,0.008696141989175581,0.03402257244885665,1,0,0,0,0,kmeans_plain,0,0,1
